[50347.557715] ----------del memcg from kmigraterd unlock----------
[50469.174199] ----------------kmigraterd run normally----------------
[50469.174231] ----------------kmigraterd run normally----------------
[50469.190318] in system call ksamplingd init
[50469.190322] the pid we sample: 27648
[50469.190352] the pid we sample: 27648
[50469.190379] the pid we sample: 27648
[50469.190417] the pid we sample: 27648
[50469.190456] the pid we sample: 27648
[50469.190491] the pid we sample: 27648
[50469.190517] the pid we sample: 27648
[50469.190545] the pid we sample: 27648
[50469.190568] the pid we sample: 27648
[50469.190596] the pid we sample: 27648
[50469.190628] the pid we sample: 27648
[50469.190658] the pid we sample: 27648
[50469.190689] the pid we sample: 27648
[50469.190712] the pid we sample: 27648
[50469.190741] the pid we sample: 27648
[50469.190763] the pid we sample: 27648
[50469.190790] the pid we sample: 27648
[50469.190824] the pid we sample: 27648
[50469.190854] the pid we sample: 27648
[50469.190885] the pid we sample: 27648
[50469.190908] the pid we sample: 27648
[50469.190937] the pid we sample: 27648
[50469.190973] the pid we sample: 27648
[50469.191000] the pid we sample: 27648
[50469.191033] the pid we sample: 27648
[50469.191055] the pid we sample: 27648
[50469.191083] the pid we sample: 27648
[50469.191105] the pid we sample: 27648
[50469.191132] the pid we sample: 27648
[50469.191164] the pid we sample: 27648
[50469.191193] the pid we sample: 27648
[50469.191222] the pid we sample: 27648
[50469.191250] the pid we sample: 27648
[50469.191274] the pid we sample: 27648
[50469.191308] the pid we sample: 27648
[50469.191336] the pid we sample: 27648
[50469.191368] the pid we sample: 27648
[50469.191399] the pid we sample: 27648
[50469.191421] the pid we sample: 27648
[50469.191448] the pid we sample: 27648
[50469.191480] the pid we sample: 27648
[50469.191512] the pid we sample: 27648
[50469.191540] the pid we sample: 27648
[50469.191562] the pid we sample: 27648
[50469.191588] the pid we sample: 27648
[50469.191612] the pid we sample: 27648
[50469.191646] the pid we sample: 27648
[50469.191678] the pid we sample: 27648
[50469.191705] the pid we sample: 27648
[50469.191731] the pid we sample: 27648
[50469.191754] the pid we sample: 27648
[50469.191777] the pid we sample: 27648
[50469.191810] the pid we sample: 27648
[50469.191837] the pid we sample: 27648
[50469.191868] the pid we sample: 27648
[50469.191888] the pid we sample: 27648
[50469.191914] the pid we sample: 27648
[50469.191937] the pid we sample: 27648
[50469.191967] the pid we sample: 27648
[50469.191997] the pid we sample: 27648
[50469.192025] the pid we sample: 27648
[50469.192053] the pid we sample: 27648
[50469.192076] the pid we sample: 27648
[50469.192100] the pid we sample: 27648
[50469.192132] the pid we sample: 27648
[50469.192158] the pid we sample: 27648
[50469.192187] the pid we sample: 27648
[50469.192208] the pid we sample: 27648
[50469.192231] the pid we sample: 27648
[50469.192252] the pid we sample: 27648
[50469.192280] the pid we sample: 27648
[50469.192310] the pid we sample: 27648
[50469.192338] the pid we sample: 27648
[50469.192363] the pid we sample: 27648
[50469.192387] the pid we sample: 27648
[50469.192408] the pid we sample: 27648
[50469.192439] the pid we sample: 27648
[50469.192464] the pid we sample: 27648
[50469.192494] the pid we sample: 27648
[50469.192518] the pid we sample: 27648
[50469.192539] the pid we sample: 27648
[50469.192563] the pid we sample: 27648
[50469.192591] the pid we sample: 27648
[50469.192622] the pid we sample: 27648
[50469.192649] peb init ok then run ksamplingd
[50469.192711] ------------ksamplingd run normally------------
[50667.790184] total runtime: 111556129 ns, total cputime: 198600000 us, cpu usage: 0
[50667.790194] ------------ksamplingd exit normally------------
