pgmigrate_success 3834006
pgmigrate_fail 26967
thp_fault_alloc 0
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       551659728 kB
MemFree:        531817200 kB
MemAvailable:   530942204 kB
Buffers:           75136 kB
Cached:           433944 kB
SwapCached:            4 kB
Active:            88352 kB
Inactive:        1088988 kB
Active(anon):      70104 kB
Inactive(anon):   613644 kB
Active(file):      18248 kB
Inactive(file):   475344 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2096636 kB
Dirty:                52 kB
Writeback:             0 kB
AnonPages:        676332 kB
Mapped:           396688 kB
Shmem:              6204 kB
KReclaimable:     255484 kB
Slab:             671724 kB
SReclaimable:     255484 kB
SUnreclaim:       416240 kB
KernelStack:       31872 kB
PageTables:        27700 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    277927012 kB
Committed_AS:    6728800 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      103340 kB
VmallocChunk:          0 kB
Percpu:           117824 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      937448 kB
DirectMap2M:     7936000 kB
DirectMap1G:    1182793728 kB
