pgmigrate_success 39953216
pgmigrate_fail 2119619
thp_fault_alloc 1
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 1
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       1085816024 kB
MemFree:        1033239488 kB
MemAvailable:   1047976636 kB
Buffers:           71212 kB
Cached:         32322320 kB
SwapCached:            8 kB
Active:           121600 kB
Inactive:       18617568 kB
Active(anon):      42104 kB
Inactive(anon):   592036 kB
Active(file):      79496 kB
Inactive(file): 18025532 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2095868 kB
Dirty:                16 kB
Writeback:             0 kB
AnonPages:        627712 kB
Mapped:           423504 kB
Shmem:              6208 kB
KReclaimable:     397936 kB
Slab:             857232 kB
SReclaimable:     397936 kB
SUnreclaim:       459296 kB
KernelStack:       32336 kB
PageTables:        29220 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    545005160 kB
Committed_AS:    6080020 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      109772 kB
VmallocChunk:          0 kB
Percpu:           117824 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     1017320 kB
DirectMap2M:     7856128 kB
DirectMap1G:    1180696576 kB
