pgmigrate_success 575633
pgmigrate_fail 20265
thp_fault_alloc 0
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       551165144 kB
MemFree:        530733468 kB
MemAvailable:   529844584 kB
Buffers:           72140 kB
Cached:           422376 kB
SwapCached:            4 kB
Active:            58456 kB
Inactive:        1011716 kB
Active(anon):      40392 kB
Inactive(anon):   560512 kB
Active(file):      18064 kB
Inactive(file):   451204 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2096892 kB
Dirty:               196 kB
Writeback:             0 kB
AnonPages:        594716 kB
Mapped:           385004 kB
Shmem:              6208 kB
KReclaimable:     246376 kB
Slab:             645556 kB
SReclaimable:     246376 kB
SUnreclaim:       399180 kB
KernelStack:       32352 kB
PageTables:        28016 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    277679720 kB
Committed_AS:    6961736 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      103100 kB
VmallocChunk:          0 kB
Percpu:           117824 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      904680 kB
DirectMap2M:     9017344 kB
DirectMap1G:    1181745152 kB
