[50017.829881] ----------del memcg from kmigraterd unlock----------
[50125.766460] ----------------kmigraterd run normally----------------
[50125.766500] ----------------kmigraterd run normally----------------
[50125.782286] in system call ksamplingd init
[50125.782290] the pid we sample: 25005
[50125.782327] the pid we sample: 25005
[50125.782351] the pid we sample: 25005
[50125.782370] the pid we sample: 25005
[50125.782422] the pid we sample: 25005
[50125.782463] the pid we sample: 25005
[50125.782495] the pid we sample: 25005
[50125.782517] the pid we sample: 25005
[50125.782541] the pid we sample: 25005
[50125.782564] the pid we sample: 25005
[50125.782604] the pid we sample: 25005
[50125.782636] the pid we sample: 25005
[50125.782671] the pid we sample: 25005
[50125.782696] the pid we sample: 25005
[50125.782726] the pid we sample: 25005
[50125.782752] the pid we sample: 25005
[50125.782785] the pid we sample: 25005
[50125.782819] the pid we sample: 25005
[50125.782852] the pid we sample: 25005
[50125.782888] the pid we sample: 25005
[50125.782914] the pid we sample: 25005
[50125.782945] the pid we sample: 25005
[50125.782981] the pid we sample: 25005
[50125.783014] the pid we sample: 25005
[50125.783050] the pid we sample: 25005
[50125.783075] the pid we sample: 25005
[50125.783108] the pid we sample: 25005
[50125.783134] the pid we sample: 25005
[50125.783164] the pid we sample: 25005
[50125.783198] the pid we sample: 25005
[50125.783227] the pid we sample: 25005
[50125.783260] the pid we sample: 25005
[50125.783289] the pid we sample: 25005
[50125.783314] the pid we sample: 25005
[50125.783348] the pid we sample: 25005
[50125.783377] the pid we sample: 25005
[50125.783410] the pid we sample: 25005
[50125.783440] the pid we sample: 25005
[50125.783465] the pid we sample: 25005
[50125.783496] the pid we sample: 25005
[50125.783529] the pid we sample: 25005
[50125.783561] the pid we sample: 25005
[50125.783592] the pid we sample: 25005
[50125.783616] the pid we sample: 25005
[50125.783645] the pid we sample: 25005
[50125.783670] the pid we sample: 25005
[50125.783703] the pid we sample: 25005
[50125.783738] the pid we sample: 25005
[50125.783766] the pid we sample: 25005
[50125.783797] the pid we sample: 25005
[50125.783821] the pid we sample: 25005
[50125.783848] the pid we sample: 25005
[50125.783886] the pid we sample: 25005
[50125.783917] the pid we sample: 25005
[50125.783951] the pid we sample: 25005
[50125.783972] the pid we sample: 25005
[50125.783997] the pid we sample: 25005
[50125.784023] the pid we sample: 25005
[50125.784053] the pid we sample: 25005
[50125.784088] the pid we sample: 25005
[50125.784118] the pid we sample: 25005
[50125.784149] the pid we sample: 25005
[50125.784175] the pid we sample: 25005
[50125.784203] the pid we sample: 25005
[50125.784239] the pid we sample: 25005
[50125.784269] the pid we sample: 25005
[50125.784303] the pid we sample: 25005
[50125.784328] the pid we sample: 25005
[50125.784355] the pid we sample: 25005
[50125.784379] the pid we sample: 25005
[50125.784410] the pid we sample: 25005
[50125.784443] the pid we sample: 25005
[50125.784471] the pid we sample: 25005
[50125.784498] the pid we sample: 25005
[50125.784525] the pid we sample: 25005
[50125.784551] the pid we sample: 25005
[50125.784583] the pid we sample: 25005
[50125.784612] the pid we sample: 25005
[50125.784645] the pid we sample: 25005
[50125.784673] the pid we sample: 25005
[50125.784696] the pid we sample: 25005
[50125.784723] the pid we sample: 25005
[50125.784754] the pid we sample: 25005
[50125.784787] the pid we sample: 25005
[50125.784815] peb init ok then run ksamplingd
[50125.784879] ------------ksamplingd run normally------------
[50324.450318] total runtime: 119325456 ns, total cputime: 198668000 us, cpu usage: 0
[50324.450330] ------------ksamplingd exit normally------------
